tag,sop,reported,obs,fa_per_h,ndec_mean,ndec_min,ndec_max,pooled,pooled_contig,frac_contig,matched_subj,n_matched,matched_rec,n_matched_rec
spectral-meanpool__large__h5__sop30,30,0.1503496503496503,0.15034965034965034,1.0001370989854674,29.3006993006993,16,30,0.133599103521455,0.13318521983161832,0.9752972560219756,0.12752396475921834,286,0.13120869790453082,267
spectral-gru__small__h5__sop30,30,0.1258741258741259,0.1258741258741259,1.0001370989854674,29.3006993006993,16,30,0.1258887930265076,0.1253685890917965,0.9752972560219756,0.1326152496121868,286,0.13105321954422294,267
spectral-gru__small__h15__sop30,30,0.0804195804195804,0.08041958041958042,1.0001370989854674,29.3006993006993,16,30,0.10205624807862038,0.10216527026477407,0.9752972560219756,0.07624284735881016,286,0.08235333545441424,267
spectral-gru__large__h5__sop30,30,0.2027972027972027,0.20279720279720279,1.0001370989854674,29.3006993006993,16,30,0.16682781463521057,0.16530331069264245,0.9752972560219756,0.19235449563504128,286,0.1932892458094816,267
spectral-attention__large__h15__sop30,30,0.1573426573426573,0.15734265734265734,1.0001370989854674,29.3006993006993,16,30,0.11590753577484901,0.11600388416642941,0.9752972560219756,0.11317132864305623,286,0.12789888695379276,267
spectral-meanpool__small__h15__sop30,30,0.0769230769230769,0.07692307692307693,1.0001370989854674,29.3006993006993,16,30,0.08218298475788137,0.08192337414080612,0.9752972560219756,0.071632559551164,286,0.0723545918091761,267
spectral-meanpool__small__h15__sop10,10,0.0629370629370629,0.06293706293706294,1.000031588020018,9.839160839160838,1,10,0.048153584492439595,0.04811656990881816,0.9916660842012068,0.045873062999843575,286,0.044086486876605865,285
spectral-attention__large__h5__sop30,30,0.2132867132867132,0.21328671328671328,1.0001370989854674,29.3006993006993,16,30,0.2034356746893563,0.2039111115630211,0.9752972560219756,0.1981103015746695,286,0.2014793807586495,267
spectral-gru__large__h15__sop10,10,0.0979020979020979,0.0979020979020979,1.000031588020018,9.839160839160838,1,10,0.06409915891987605,0.06400349596953243,0.9916660842012068,0.06425909915148512,286,0.05870239508015461,285
spectral-attention__small__h15__sop10,10,0.0524475524475524,0.05244755244755245,1.000031588020018,9.839160839160838,1,10,0.05296707905221221,0.05289768415512895,0.9916660842012068,0.04770717206297048,286,0.04343293268208747,285
spectral-meanpool__large__h15__sop30,30,0.0874125874125874,0.08741258741258741,1.0001370989854674,29.3006993006993,16,30,0.08481589464393736,0.08495343067474682,0.9752972560219756,0.06970534648858019,286,0.062034152550462504,267
logistic-mean__small__h45__sop30,30,0.0629370629370629,0.06293706293706294,1.0001370989854674,29.3006993006993,16,30,0.053069744840785804,0.05325476878024973,0.9752972560219756,0.04351262977241079,286,0.04511126351596794,267
logistic-mean__small__h45__sop10,10,0.0244755244755244,0.024475524475524476,1.000031588020018,9.839160839160838,1,10,0.02841033526711866,0.0284329457537362,0.9916660842012068,0.02170646299785696,286,0.0239950897425518,285
spectral-attention__small__h5__sop30,30,0.1083916083916083,0.10839160839160839,1.0001370989854674,29.3006993006993,16,30,0.1283580757445036,0.12780381909138977,0.9752972560219756,0.11656149658182355,286,0.12537604339366545,267
spectral-attention__large__h45__sop10,10,0.0419580419580419,0.04195804195804196,1.000031588020018,9.839160839160838,1,10,0.03828428974161832,0.03814553852732284,0.9916660842012068,0.03815127416628252,286,0.046018687590889014,285
spectral-meanpool__large__h15__sop10,10,0.0244755244755244,0.024475524475524476,1.000031588020018,9.839160839160838,1,10,0.04312341278162205,0.0429853888208856,0.9916660842012068,0.04658931356420669,286,0.05272667279087225,285
spectral-meanpool__large__h45__sop10,10,0.0279720279720279,0.027972027972027972,1.000031588020018,9.839160839160838,1,10,0.028161040050325017,0.028014745097302136,0.9916660842012068,0.020955889043063905,286,0.01837167102735722,285
spectral-meanpool__small__h5__sop30,30,0.0944055944055944,0.0944055944055944,1.0001370989854674,29.3006993006993,16,30,0.11662402443499043,0.11610302192215398,0.9752972560219756,0.10806448094525006,286,0.10018569040103892,267
spectral-attention__large__h45__sop30,30,0.0909090909090909,0.09090909090909091,1.0001370989854674,29.3006993006993,16,30,0.07675601701722548,0.07656739333794281,0.9752972560219756,0.0813008908289222,286,0.0747864238945275,267
spectral-gru__small__h15__sop10,10,0.0349650349650349,0.03496503496503497,1.000031588020018,9.839160839160838,1,10,0.05605880571282123,0.055900270890649924,0.9916660842012068,0.052271933474361605,286,0.05225739725615851,285
spectral-gru__small__h45__sop10,10,0.0209790209790209,0.02097902097902098,1.000031588020018,9.839160839160838,1,10,0.04305584678828545,0.04295954496009473,0.9916660842012068,0.03478619869996595,286,0.03514305108916592,285
