rid,auc,n_ict,n_ctl,subject
sub-019_ses-01_task-szMonitoring_run-07,0.9375555555555555,30,150,19
sub-020_ses-01_task-szMonitoring_run-05,0.9964497041420118,13,65,20
sub-021_ses-01_task-szMonitoring_run-01,0.9741935483870967,31,155,21
sub-021_ses-01_task-szMonitoring_run-04,0.929875,40,200,21
sub-022_ses-01_task-szMonitoring_run-04,0.10390625000000002,48,240,22
sub-022_ses-01_task-szMonitoring_run-06,0.118,20,100,22
sub-022_ses-01_task-szMonitoring_run-10,0.75,8,40,22
sub-023_ses-01_task-szMonitoring_run-03,0.9375,16,80,23
sub-024_ses-01_task-szMonitoring_run-01,0.9764921946740128,33,165,24
sub-024_ses-01_task-szMonitoring_run-07,0.9914999999999999,20,100,24
sub-025_ses-01_task-szMonitoring_run-03,1.0,5,25,25
sub-025_ses-01_task-szMonitoring_run-04,0.9376,25,125,25
sub-026_ses-01_task-szMonitoring_run-03,1.0,9,45,26
sub-026_ses-01_task-szMonitoring_run-04,0.9875555555555556,15,75,26
sub-026_ses-01_task-szMonitoring_run-06,0.9640624999999999,16,80,26
sub-027_ses-01_task-szMonitoring_run-07,0.988,10,50,27
sub-028_ses-01_task-szMonitoring_run-01,0.792,5,25,28
sub-028_ses-01_task-szMonitoring_run-04,0.9723356009070294,21,105,28
sub-028_ses-01_task-szMonitoring_run-05,0.9777777777777777,9,45,28
sub-029_ses-01_task-szMonitoring_run-08,0.9605,40,200,29
sub-029_ses-01_task-szMonitoring_run-10,0.774,10,50,29
sub-030_ses-01_task-szMonitoring_run-03,0.7933827160493827,45,225,30
sub-030_ses-01_task-szMonitoring_run-04,0.7341836734693878,28,140,30
sub-030_ses-01_task-szMonitoring_run-05,0.6140589569160998,21,105,30
sub-031_ses-01_task-szMonitoring_run-03,0.9163580246913581,36,180,31
sub-033_ses-01_task-szMonitoring_run-12,0.9433106575963719,21,105,33
sub-034_ses-01_task-szMonitoring_run-01,0.7375,4,20,34
sub-034_ses-01_task-szMonitoring_run-03,0.7775147928994083,13,65,34
sub-034_ses-01_task-szMonitoring_run-07,0.8542936288088643,19,95,34
sub-034_ses-01_task-szMonitoring_run-08,0.7510204081632653,7,35,34
sub-034_ses-01_task-szMonitoring_run-09,0.9074218749999999,32,160,34
sub-035_ses-01_task-szMonitoring_run-03,0.522,20,100,35
sub-035_ses-01_task-szMonitoring_run-06,0.7777777777777778,6,30,35
sub-035_ses-01_task-szMonitoring_run-07,0.828,20,100,35
sub-035_ses-01_task-szMonitoring_run-09,0.7611111111111111,6,30,35
sub-035_ses-01_task-szMonitoring_run-11,0.9044982698961939,17,85,35
sub-035_ses-01_task-szMonitoring_run-14,0.608,5,25,35
sub-036_ses-01_task-szMonitoring_run-01,0.1890359168241966,23,115,36
sub-037_ses-01_task-szMonitoring_run-01,0.7761562769319161,59,295,37
sub-038_ses-01_task-szMonitoring_run-07,0.9799307958477509,17,85,38
sub-039_ses-01_task-szMonitoring_run-01,0.6969387755102041,14,70,39
sub-039_ses-01_task-szMonitoring_run-04,0.7964937910883857,37,185,39
sub-039_ses-01_task-szMonitoring_run-06,0.8606508875739645,26,130,39
sub-039_ses-01_task-szMonitoring_run-08,0.8,2,10,39
sub-039_ses-01_task-szMonitoring_run-09,0.8301652892561985,22,110,39
sub-040_ses-01_task-szMonitoring_run-04,0.8908093278463649,27,135,40
sub-040_ses-01_task-szMonitoring_run-05,0.9387755102040816,7,35,40
sub-041_ses-01_task-szMonitoring_run-01,0.9,2,10,41
sub-042_ses-01_task-szMonitoring_run-01,0.76,5,25,42
sub-042_ses-01_task-szMonitoring_run-04,0.2833333333333333,6,30,42
sub-042_ses-01_task-szMonitoring_run-06,0.9125,4,20,42
sub-042_ses-01_task-szMonitoring_run-07,0.42499999999999993,4,20,42
sub-042_ses-01_task-szMonitoring_run-08,0.85,8,40,42
sub-043_ses-01_task-szMonitoring_run-05,0.8,4,20,43
sub-043_ses-01_task-szMonitoring_run-06,0.7111111111111111,3,15,43
sub-043_ses-01_task-szMonitoring_run-07,0.6,2,10,43
sub-043_ses-01_task-szMonitoring_run-08,0.8968750000000001,8,40,43
sub-044_ses-01_task-szMonitoring_run-01,0.8666666666666667,3,15,44
sub-044_ses-01_task-szMonitoring_run-05,0.98448,50,250,44
sub-045_ses-01_task-szMonitoring_run-09,0.9769547325102881,27,135,45
sub-046_ses-01_task-szMonitoring_run-01,0.8906603212373587,41,205,46
sub-047_ses-01_task-szMonitoring_run-01,0.68,10,50,47
sub-047_ses-01_task-szMonitoring_run-02,0.5008310249307479,19,95,47
sub-047_ses-01_task-szMonitoring_run-03,0.608,5,25,47
sub-047_ses-01_task-szMonitoring_run-04,0.540495867768595,44,220,47
sub-047_ses-01_task-szMonitoring_run-06,0.7166666666666667,12,60,47
sub-047_ses-01_task-szMonitoring_run-07,0.43250688705234164,33,165,47
sub-048_ses-01_task-szMonitoring_run-06,0.8800000000000001,5,25,48
sub-049_ses-01_task-szMonitoring_run-02,0.9962022569444444,96,480,49
sub-050_ses-01_task-szMonitoring_run-05,0.95136,25,125,50
sub-051_ses-01_task-szMonitoring_run-01,0.5660000000000001,10,50,51
sub-051_ses-01_task-szMonitoring_run-02,0.448,5,25,51
sub-052_ses-01_task-szMonitoring_run-01,0.5,2,10,52
sub-052_ses-01_task-szMonitoring_run-03,0.6224852071005917,13,65,52
sub-052_ses-01_task-szMonitoring_run-05,0.8516096452468123,89,445,52
sub-052_ses-01_task-szMonitoring_run-07,0.7005056513979775,82,410,52
sub-052_ses-01_task-szMonitoring_run-08,0.9272727272727274,11,55,52
sub-053_ses-01_task-szMonitoring_run-02,0.68824,50,250,53
sub-054_ses-01_task-szMonitoring_run-04,0.9906250000000001,8,40,54
sub-055_ses-01_task-szMonitoring_run-01,0.5094137870753453,262,1310,55
sub-055_ses-01_task-szMonitoring_run-02,0.415625,8,40,55
sub-055_ses-01_task-szMonitoring_run-03,0.8444444444444446,3,15,55
sub-056_ses-01_task-szMonitoring_run-02,0.8550603915035402,49,245,56
sub-056_ses-01_task-szMonitoring_run-03,0.9279999999999999,35,175,56
sub-056_ses-01_task-szMonitoring_run-04,0.8818717614018433,159,795,56
sub-056_ses-01_task-szMonitoring_run-05,0.8091715976331361,26,130,56
sub-057_ses-01_task-szMonitoring_run-06,0.7833333333333334,6,30,57
sub-058_ses-01_task-szMonitoring_run-02,0.9257599999999999,25,125,58
sub-059_ses-01_task-szMonitoring_run-01,0.5111111111111111,6,30,59
