rid,auc,n_ict,n_ctl,subject
sub-080_ses-01_task-szMonitoring_run-12,0.5875,4,20,80
sub-080_ses-01_task-szMonitoring_run-15,0.8976250000000001,40,200,80
sub-080_ses-01_task-szMonitoring_run-16,0.6222222222222222,6,30,80
sub-080_ses-01_task-szMonitoring_run-19,0.878125,8,40,80
sub-082_ses-01_task-szMonitoring_run-11,0.7983801652892563,110,550,82
sub-089_ses-01_task-szMonitoring_run-36,0.8561224489795919,14,70,89
sub-093_ses-01_task-szMonitoring_run-63,1.0,12,60,93
sub-097_ses-01_task-szMonitoring_run-02,0.9500000000000001,2,10,97
sub-097_ses-01_task-szMonitoring_run-04,0.5611111111111111,6,30,97
sub-097_ses-01_task-szMonitoring_run-07,0.778125,8,40,97
sub-097_ses-01_task-szMonitoring_run-09,0.6,2,10,97
sub-098_ses-01_task-szMonitoring_run-03,0.9791383219954648,21,105,98
sub-099_ses-01_task-szMonitoring_run-01,0.9376734693877552,70,350,99
sub-099_ses-01_task-szMonitoring_run-02,0.8795918367346939,14,70,99
sub-100_ses-01_task-szMonitoring_run-09,0.4285,20,100,100
sub-101_ses-01_task-szMonitoring_run-01,0.8612244897959184,7,35,101
sub-101_ses-01_task-szMonitoring_run-03,0.6499999999999999,6,30,101
sub-101_ses-01_task-szMonitoring_run-06,0.5750000000000001,8,40,101
sub-101_ses-01_task-szMonitoring_run-07,0.275,4,20,101
sub-101_ses-01_task-szMonitoring_run-08,0.8222222222222222,6,30,101
sub-102_ses-01_task-szMonitoring_run-01,0.9617283950617284,18,90,102
sub-102_ses-01_task-szMonitoring_run-03,0.9500000000000001,2,10,102
sub-103_ses-01_task-szMonitoring_run-02,0.52,5,25,103
sub-103_ses-01_task-szMonitoring_run-03,0.25,2,10,103
sub-103_ses-01_task-szMonitoring_run-04,0.36527777777777776,12,60,103
sub-103_ses-01_task-szMonitoring_run-06,0.85,2,10,103
sub-103_ses-01_task-szMonitoring_run-07,0.9514792899408284,13,65,103
sub-104_ses-01_task-szMonitoring_run-05,0.9432098765432099,9,45,104
sub-105_ses-01_task-szMonitoring_run-07,0.9768888888888888,15,75,105
