recording_id,n_neg,neg_mean,neg_med,neg_q99,neg_max,dur_s,tag
sub-013_ses-01_task-szMonitoring_run-01,841,0.07468640534905574,0.0058497190475463,0.989323401451111,0.9948998093605042,68760.0,spectral-gru__large__h45__sop10
sub-014_ses-01_task-szMonitoring_run-01,1140,0.038590553023823256,0.0022588714491575497,0.991325015425682,0.9963713884353638,80640.0,spectral-gru__large__h45__sop10
sub-014_ses-01_task-szMonitoring_run-03,331,0.06391099270433535,0.0035648150369524,0.9752681970596313,0.9892719984054564,22500.0,spectral-gru__large__h45__sop10
sub-014_ses-01_task-szMonitoring_run-04,796,0.04424983125470894,0.0037336699897423,0.9851187378168106,0.9917643666267396,53100.0,spectral-gru__large__h45__sop10
sub-014_ses-01_task-szMonitoring_run-05,8,0.00200592431065155,0.0019627838628366,0.002568154791370009,0.0025807286147028,3120.0,spectral-gru__large__h45__sop10
sub-014_ses-01_task-szMonitoring_run-06,239,0.08236929708977311,0.0039376993663609,0.9694821274280548,0.9832378625869752,16980.0,spectral-gru__large__h45__sop10
sub-015_ses-01_task-szMonitoring_run-01,1083,0.12604619972533043,0.012063936330378,0.9918206548690797,0.9988221526145936,74580.0,spectral-gru__large__h45__sop10
sub-015_ses-01_task-szMonitoring_run-02,103,0.016122092059994226,0.0083859749138355,0.06261455580592151,0.237352579832077,8820.0,spectral-gru__large__h45__sop10
sub-015_ses-01_task-szMonitoring_run-04,808,0.25886178848772806,0.0181652577593922,0.9944764691591262,0.9969203472137452,72000.0,spectral-gru__large__h45__sop10
sub-015_ses-01_task-szMonitoring_run-06,986,0.24145286283889097,0.0176543025299906,0.9949808090925216,0.9970802664756776,80100.0,spectral-gru__large__h45__sop10
sub-015_ses-01_task-szMonitoring_run-08,43,0.2115723773468892,0.0022765030153095,0.9592441320419309,0.98584645986557,6180.0,spectral-gru__large__h45__sop10
sub-015_ses-01_task-szMonitoring_run-09,716,0.19163341464494466,0.00649847928434605,0.9972307413816452,0.9983697533607484,63840.0,spectral-gru__large__h45__sop10
sub-016_ses-01_task-szMonitoring_run-01,1137,0.016302342136515782,0.0027242337819188,0.4069257593154941,0.9610024690628052,73980.0,spectral-gru__large__h45__sop10
sub-016_ses-01_task-szMonitoring_run-02,154,0.005610756354947683,0.00272722798399625,0.03310673911124462,0.0691561549901962,11880.0,spectral-gru__large__h45__sop10
sub-016_ses-01_task-szMonitoring_run-03,1094,0.016307492772801652,0.00236880464944985,0.35757265180349274,0.9181075096130372,80760.0,spectral-gru__large__h45__sop10
